Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Connexions_Districte,Connexions_Barri
2020,1,Ciutat Vella,1,el Raval,"[2,3,10]","[2,7,8,10,11]"
2020,1,Ciutat Vella,2,el Barri Gòtic,"[2,3,10]","[1,7,4,3]"
2020,1,Ciutat Vella,3,la Barceloneta,"[2,3,10]","[4,2,67]"
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera","[2,3,10]","[2,3,7,5,66,67]"
2020,2,Eixample,5,el Fort Pienc,"[1,3,4,6,10]","[4,7,6,66]"
2020,2,Eixample,6,la Sagrada Família,"[1,3,4,6,10]","[5,7,32,33,35,64,65]"
2020,2,Eixample,7,la Dreta de l'Eixample,"[1,3,4,6,10]","[1,2,4,5,6,32,31,8,10]"
2020,2,Eixample,8,l'Antiga Esquerra de l'Eixample,"[1,3,4,6,10]","[9,10,1,7,26,19]"
2020,2,Eixample,9,la Nova Esquerra de l'Eixample,"[1,3,4,6,10]","[10,15,18,19,8]"
2020,2,Eixample,10,Sant Antoni,"[1,3,4,6,10]","[11,1,8,9,7]"
2020,3,Sants-Montjuïc,11,el Poble Sec,"[1,2,4]","[1,10]"
2020,3,Sants-Montjuïc,12,la Marina del Prat Vermell,"[1,2,4]",[13]
2020,3,Sants-Montjuïc,13,la Marina de Port,"[1,2,4]","[12,14,16]"
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,"[1,2,4]","[13,16,15]"
2020,3,Sants-Montjuïc,15,Hostafrancs,"[1,2,4]","[14,16,18,9]"
2020,3,Sants-Montjuïc,16,la Bordeta,"[1,2,4]","[13,14,15,18,17]"
2020,3,Sants-Montjuïc,17,Sants - Badal,"[1,2,4]","[16,18,20]"
2020,3,Sants-Montjuïc,18,Sants,"[1,2,4]","[16,15,9,19,17]"
2020,4,Les Corts,19,les Corts,"[2,3,5]","[18,20,21,24,26,8,9]"
2020,4,Les Corts,20,la Maternitat i Sant Ramon,"[2,3,5]","[17,19,21]"
2020,4,Les Corts,21,Pedralbes,"[2,3,5]","[20,19,23,22]"
2020,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes","[4,6,7]","[21,23,25,39]"
2020,5,Sarrià-Sant Gervasi,23,Sarrià,"[4,6,7]","[21,22,24,25]"
2020,5,Sarrià-Sant Gervasi,24,les Tres Torres,"[4,6,7]","[19,23,25,26]"
2020,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,"[4,6,7]","[22,23,24,26,27,28,39]"
2020,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,"[4,6,7]","[8,19,24,25,27,31]"
2020,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,"[4,6,7]","[28,25,26,31]"
2020,6,Gràcia,28,Vallcarca i els Penitents,"[2,5,7]","[39,38,29,30,31,27,25]"
2020,6,Gràcia,29,el Coll,"[2,5,7]","[28,38,37,30]"
2020,6,Gràcia,30,la Salut,"[2,5,7]","[28,29,37,34,33,32,31]"
2020,6,Gràcia,31,la Vila de Gràcia,"[2,5,7]","[7,26,27,28,30,32]"
2020,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,"[2,5,7]","[7,6,31,30,33]"
2020,7,Horta-Guinardó,33,el Baix Guinardó,"[5,6,8,9]","[32,30,34,35,6]"
2020,7,Horta-Guinardó,34,Can Baró,"[5,6,8,9]","[30,37,36,35,33]"
2020,7,Horta-Guinardó,35,el Guinardó,"[5,6,8,9]","[33,6,64,63,62,44,36,34]"
2020,7,Horta-Guinardó,36,la Font d'en Fargues,"[5,6,8,9]","[35,34,37,43,44]"
2020,7,Horta-Guinardó,37,el Carmel,"[5,6,8,9]","[30,29,38,42,43,36,34]"
2020,7,Horta-Guinardó,38,la Teixonera,"[5,6,8,9]","[28,29,37,42,41,39]"
2020,7,Horta-Guinardó,39,Sant Genís dels Agudells,"[5,6,8,9]","[40,38,28,25,22]"
2020,7,Horta-Guinardó,40,Montbau,"[5,6,8,9]","[39,41,43]"
2020,7,Horta-Guinardó,41,la Vall d'Hebron,"[5,6,8,9]","[40,38,43,42]"
2020,7,Horta-Guinardó,42,la Clota,"[5,6,8,9]","[41,43,37,38]"
2020,7,Horta-Guinardó,43,Horta,"[5,6,8,9]","[40,41,42,37,36,44,46,47,48,49]"
2020,8,Nou Barris,44,Vilapicina i la Torre Llobeta,"[7,9]","[35,36,43,46,45,62,60]"
2020,8,Nou Barris,45,Porta,"[7,9]","[44,46,48,52,60]"
2020,8,Nou Barris,46,el Turó de la Peira,"[7,9]","[44,45,48,47,43]"
2020,8,Nou Barris,47,Can Peguera,"[7,9]","[48,46,43]"
2020,8,Nou Barris,48,la Guineueta,"[7,9]","[49,50,51,45,46,47,43]"
2020,8,Nou Barris,49,Canyelles,"[7,9]","[43,48,50,54]"
2020,8,Nou Barris,50,les Roquetes,"[7,9]","[49,54,53,51,48]"
2020,8,Nou Barris,51,Verdun,"[7,9]","[50,52,48]"
2020,8,Nou Barris,52,la Prosperitat,"[7,9]","[45,51,53,60]"
2020,8,Nou Barris,53,la Trinitat Nova,"[7,9]","[54,50,52,57]"
2020,8,Nou Barris,54,Torre Baró,"[7,9]","[55,56,53,50,49]"
2020,8,Nou Barris,55,Ciutat Meridiana,"[7,9]","[56,54]"
2020,8,Nou Barris,56,Vallbona,"[7,9]","[55,54,57]"
2020,9,Sant Andreu,57,la Trinitat Vella,"[7,8,10]","[53,56,60,58]"
2020,9,Sant Andreu,58,Baró de Viver,"[7,8,10]","[57,60,59]"
2020,9,Sant Andreu,59,el Bon Pastor,"[7,8,10]","[58,60,73]"
2020,9,Sant Andreu,60,Sant Andreu,"[7,8,10]","[61,44,45,52,57,58,59]"
2020,9,Sant Andreu,61,la Sagrera,"[7,8,10]","[60,62,63,65,72,73]"
2020,9,Sant Andreu,62,el Congrés i els Indians,"[7,8,10]","[44,61,63,35]"
2020,9,Sant Andreu,63,Navas,"[7,8,10]","[64,35,62,61,65]"
2020,10,Sant Martí,64,el Camp de l'Arpa del Clot,"[1,2,9]","[63,35,6,65]"
2020,10,Sant Martí,65,el Clot,"[1,2,9]","[64,63,72,71,66,6,61]"
2020,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,"[1,2,9]","[65,71,68,67,4,5]"
2020,10,Sant Martí,67,la Vila Olímpica del Poblenou,"[1,2,9]","[66,68,4,3]"
2020,10,Sant Martí,68,el Poblenou,"[1,2,9]","[66,71,69,67]"
2020,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,"[1,2,9]","[70,71,68]"
2020,10,Sant Martí,70,el Besòs i el Maresme,"[1,2,9]","[71,69]"
2020,10,Sant Martí,71,Provençals del Poblenou,"[1,2,9]","[65,66,68,69,70,73,72]"
2020,10,Sant Martí,72,Sant Martí de Provençals,"[1,2,9]","[61,65,73,71]"
2020,10,Sant Martí,73,la Verneda i la Pau,"[1,2,9]","[59,61,72,71]"
